old_sha256,old_size,target_count,replacement_target_count,unchanged_target_count,content_classification,legacy_group_representative_target,source_resolution,canonical_source_asset_path,source_candidate_count,source_candidates,replacement_targets,unchanged_targets
cbaf7787ec7df7ea0787eb2a015a75e3c92459f1e87162f0c246b2b8cde4c703,3896,2,2,0,fully_transparent_placeholder,assets/img/bg/1080/diamond_ringedgenesis.png,no_current_official_match,,0,,assets/img/bg/1080/diamond_ringedgenesis.png|assets/img/bg/1080/ringedgenesis_clear.png,
d50900bddba41d4304b1f739671ca6c8585f8c3808720551ced27e0f67ff7dca,3701,2,2,0,fully_transparent_placeholder,assets/img/bg/1080/chuni-worldvanquisher_clear.png,no_current_official_match,,0,,assets/img/bg/1080/chuni-worldvanquisher_clear.png|assets/img/bg/1080/diamond_worldvanquisher.png,
e67bd9abe556df10ab2abaad9f1ac7748f11abc98d6460cd6406124c21139417,2463,2,2,0,fully_transparent_placeholder,assets/img/bg/1080/prelude_light_clear.png,no_current_official_match,,0,,assets/img/bg/1080/prelude_light_clear.png|assets/img/bg/ongeki_conflict_diamond.png,
04bea7233b8b44e387199d5f601670a93614f6d627e9e340c0d156d15fdc2eef,15339,1,1,0,exact_current_official_content,assets/models/tap_l.png,unique_official_source,assets/models/tap_d.png,1,assets/models/tap_d.png,assets/models/tap_l.png,
075b8ff49f618215a8153145c707e14e60fd6d8a01357992940938029b53f46c,5604,1,1,0,fully_transparent_placeholder,assets/img/bg/1080/arcahv-debris.png,no_current_official_match,,0,,assets/img/bg/1080/arcahv-debris.png,
1a8cff9a45e3112634bbf3cb119a250bd681b280bc326bf71facd168ff43e1d5,5222,1,1,0,fully_transparent_placeholder,assets/img/bg/1080/eclipse_clear.png,no_current_official_match,,0,,assets/img/bg/1080/eclipse_clear.png,
260f09654f48f72df79c80b3ab88f20bbff77762eebfd30fa814b087da4ae4f6,10870,1,1,0,fully_transparent_placeholder,assets/img/bg/1080/axiumcrisis_.png,no_current_official_match,,0,,assets/img/bg/1080/axiumcrisis_.png,
265149d454822c2c808720c61f5a4317c0bfda56fc96598ea7b19b6ea52c5dd1,4144,1,1,0,fully_transparent_placeholder,assets/img/bg/bg_darken.png,no_current_official_match,,0,,assets/img/bg/bg_darken.png,
2855027b108bf147722f3761c1d8837162bea0a5db3e87e99cfd5ecef29b34b0,39013,1,1,0,exact_current_official_content,assets/img/note_hold.png,unique_official_source,assets/img/note_hold_dark.png,1,assets/img/note_hold_dark.png,assets/img/note_hold.png,
5c53ce77878a273d0339a0902fca2fc829028a9dc3546e0428db2469495f38ee,1432,1,1,0,fully_transparent_placeholder,assets/img/bg/diamond_shiawase.png,no_current_official_match,,0,,assets/img/bg/diamond_shiawase.png,
